id,qname,heading,text,type,diagram,website,updated
,FlightReservation,FlightReservation,"A reservation for air travel.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].",Class,http://schema.org/diagrams/FlightReservation.dot.svg,http://schema.org/FlightReservation,2026-07-24T12:31:48.132193
,RecyclingCenter,RecyclingCenter,A recycling center.,Class,http://schema.org/diagrams/RecyclingCenter.dot.svg,http://schema.org/RecyclingCenter,2026-07-24T12:31:48.132193
,ClaimReview,ClaimReview,A fact-checking review of claims made (or reported) in some creative work (referenced via itemReviewed).,Class,http://schema.org/diagrams/ClaimReview.dot.svg,http://schema.org/ClaimReview,2026-07-24T12:31:48.132193
,ItemList,ItemList,"A list of items of any sort&#x2014;for example, Top 10 Movies About Weathermen, or Top 100 Party Songs. Not to be confused with HTML lists, which are often used only for formatting.",Class,http://schema.org/diagrams/ItemList.dot.svg,http://schema.org/ItemList,2026-07-24T12:31:48.132193
,Bone,Bone,Rigid connective tissue that comprises up the skeletal structure of the human body.,Class,http://schema.org/diagrams/Bone.dot.svg,http://schema.org/Bone,2026-07-24T12:31:48.132193
,FindAction,FindAction,"The act of finding an object.\n\nRelated actions:\n\n* [[SearchAction]]: FindAction is generally lead by a SearchAction, but not necessarily.",Class,http://schema.org/diagrams/FindAction.dot.svg,http://schema.org/FindAction,2026-07-24T12:31:48.132193
,GeospatialGeometry,GeospatialGeometry,(Eventually to be defined as) a supertype of GeoShape designed to accommodate definitions from Geo-Spatial best practices.,Class,http://schema.org/diagrams/GeospatialGeometry.dot.svg,http://schema.org/GeospatialGeometry,2026-07-24T12:31:48.132193
,Demand,Demand,"A demand entity represents the public, not necessarily binding, not necessarily exclusive, announcement by an organization or person to seek a certain type of goods or services. For describing demand using this type, the very same properties used for Offer apply.",Class,http://schema.org/diagrams/Demand.dot.svg,http://schema.org/Demand,2026-07-24T12:31:48.132193
,AggregateOffer,AggregateOffer,"When a single product is associated with multiple offers (for example, the same pair of shoes is offered by different merchants), then AggregateOffer can be used.\n\nNote: AggregateOffers are normally expected to associate multiple offers that all share the same defined [[businessFunction]] value, or default to http://purl.org/goodrelations/v1#Sell if businessFunction is not explicitly defined.",Class,http://schema.org/diagrams/AggregateOffer.dot.svg,http://schema.org/AggregateOffer,2026-07-24T12:31:48.132193
,PaymentService,PaymentService,A Service to transfer funds from a person or organization to a beneficiary person or organization.,Class,http://schema.org/diagrams/PaymentService.dot.svg,http://schema.org/PaymentService,2026-07-24T12:31:48.132193
,Quotation,Quotation,"A quotation. Often but not necessarily from some written work, attributable to a real world author and - if associated with a fictional character - to any fictional Person. Use [[isBasedOn]] to link to source/origin. The [[recordedIn]] property can be used to reference a Quotation from an [[Event]].",Class,http://schema.org/diagrams/Quotation.dot.svg,http://schema.org/Quotation,2026-07-24T12:31:48.132193
,BrainStructure,BrainStructure,Any anatomical structure which pertains to the soft nervous tissue functioning as the coordinating center of sensation and intellectual and nervous activity.,Class,http://schema.org/diagrams/BrainStructure.dot.svg,http://schema.org/BrainStructure,2026-07-24T12:31:48.132193
,UKNonprofitType,UKNonprofitType,UKNonprofitType: Non-profit organization type originating from the United Kingdom.,Class,http://schema.org/diagrams/UKNonprofitType.dot.svg,http://schema.org/UKNonprofitType,2026-07-24T12:31:48.132193
,TVEpisode,TVEpisode,A TV episode which can be part of a series or season.,Class,http://schema.org/diagrams/TVEpisode.dot.svg,http://schema.org/TVEpisode,2026-07-24T12:31:48.132193
,EmailMessage,EmailMessage,An email message.,Class,http://schema.org/diagrams/EmailMessage.dot.svg,http://schema.org/EmailMessage,2026-07-24T12:31:48.132193
,ShoppingCenter,ShoppingCenter,A shopping center or mall.,Class,http://schema.org/diagrams/ShoppingCenter.dot.svg,http://schema.org/ShoppingCenter,2026-07-24T12:31:48.132193
